sep=,
AHP priorities,"2019.01.05 19:56:54"
3
"Otel_Adi","Otel_Lokasyonu","Url"
1.000000,7.000000,3.000000
0.142857,1.000000,0.250000
0.333333,4.000000,1.000000
0.658626,0.078617,0.262757
3.032374,0.033780
